Subject	Relation_id	Relation_choice	Object	Md5	Trunk	ID
Iran	061	Cooperate economically	Europe	e82332d5a8c92723b89064fa04fd9bb0	[1:0:5]	83
National Iranian Oil Company (NIOC)	061	Cooperate economically	French Total	e82332d5a8c92723b89064fa04fd9bb0	[1:0:5]	84
French Total	1221	Reject request for economic aid	Iran	e82332d5a8c92723b89064fa04fd9bb0	[2:6:9]	85
Italy's Saras refinery	061	Cooperate economically	Iran	e82332d5a8c92723b89064fa04fd9bb0	[3:10:13]	86
Iran	060	Engage in material cooperation	Turkmenistan	a34cd850f0fb3a568c881e0eb35a4034	[0:0:0]	87
Iranian Transport and Urban Development Minister Abbas Akhoundi	061	Cooperate economically	Turkmen Foreign Affairs Minister Rashid Meredov	a34cd850f0fb3a568c881e0eb35a4034	[1:0:5]	88
Iran	061	Cooperate economically	Turkmenistan	a34cd850f0fb3a568c881e0eb35a4034	[1:0:5]	89
Iran	061	Cooperate economically	Turkmenistan	a34cd850f0fb3a568c881e0eb35a4034	[2:6:10]	90
Israeli army	062	Cooperate militarily	Gaza border	2cb19fdecf23867d3fcc8aabe73a9a76	[2:5:5]	91
Russia	062	Cooperate militarily	Iran	9744f4bae217927dd806af8b138815a9	[0:0:0]	92
Russia	061	Cooperate economically	Iran	9744f4bae217927dd806af8b138815a9	[2:7:9]	93
Russia	061	Cooperate economically	Iran	9744f4bae217927dd806af8b138815a9	[3:10:13]	94
Russia	062	Cooperate militarily	Iran on discussing fighter jet sales	9744f4bae217927dd806af8b138815a9	[4:14:16]	95
Islamic Jihad's Al-Quds Brigades	1823	Kill by physical assault	Popular Resistance Committees	5a5968d4daf4973283b186662fcf9a82	[1:0:2]	96
Hamas	062	Cooperate militarily	Islamic Jihad and Popular Resistance Committees	5a5968d4daf4973283b186662fcf9a82	[2:3:6]	97
Hamas	062	Cooperate militarily	Israel	5a5968d4daf4973283b186662fcf9a82	[2:3:6]	98
al-Qassam Brigades	062	Cooperate militarily	Islamic Jihad and Popular Resistance Committees	5a5968d4daf4973283b186662fcf9a82	[3:7:8]	99
Hamas	062	Cooperate militarily	Islamic Jihad and Popular Resistance Committees	5a5968d4daf4973283b186662fcf9a82	[5:11:12]	100
Hamas	062	Cooperate militarily	Islamic Jihad and Popular Resistance Committees	5a5968d4daf4973283b186662fcf9a82	[6:13:14]	101
Iran	061	Cooperate economically	Russia	948d44d2a919214d9904f1e506374798	[1:0:2]	102
Israeli Army	062	Cooperate militarily	Buffer Zone	b10b1c66f951ff72f6f171c17929bd1e	[1:0:2]	103
Israeli Army	062	Cooperate militarily	Palestinian lands	b10b1c66f951ff72f6f171c17929bd1e	[2:3:6]	104
Iran	061	Cooperate economically	Six world powers	9c4d6cf7fcf66343110034322c2db0f6	[3:7:9]	105
OPEC	061	Cooperate economically	(unspecified countries)	9474f54e61cce9aa308bbefb6f27f0a2	[0:0:0]	106
United States	060	Engage in material cooperation	Arab states	1aa94ef710e6a3349261a2fec419f14a	[1:0:1]	107
Australia, Belgium, Britain, Canada, Denmark, France, Netherlands	1055	Demand to allow non-mediatory international involvement	Iraq against IS	ac06a4f738e133aaa1aad5ff38f70d95	[2:4:8]	108
Saudi Arabia	062	Cooperate militarily	IS in Syria	ac06a4f738e133aaa1aad5ff38f70d95	[3:9:14]	109
Jordan, the United Arab Emirates, Bahrain	062	Cooperate militarily	IS in Syria	ac06a4f738e133aaa1aad5ff38f70d95	[3:9:14]	110
Egypt	061	Cooperate economically	Siemens	887c85dda8845d32f102da0d5378ab53	[1:0:3]	111
Saudi Arabia	061	Cooperate economically	Domestic and export oil markets	d8217993ccd32e9700e89310b52bd319	[1:0:3]	112
Iran	060	Engage in material cooperation	Iraqi forces	71965d77ed886dcd54c9262c7bae06c1	[0:0:0]	113
Iranian-supported militias	062	Cooperate militarily	Islamic State of Iraq and Syria	71965d77ed886dcd54c9262c7bae06c1	[1:0:1]	114
Iraqi Security Forces	0311	Express intent to cooperate economically	Iranian-supported Shi'a militias	71965d77ed886dcd54c9262c7bae06c1	[2:2:4]	115
Iranian-backed forces	062	Cooperate militarily	Iraqi Security Forces	71965d77ed886dcd54c9262c7bae06c1	[2:2:4]	116
U.S. troops	062	Cooperate militarily	new Iraqi security forces	71965d77ed886dcd54c9262c7bae06c1	[4:8:10]	117
Iran	062	Cooperate militarily	Shi'a militias in Iraq	71965d77ed886dcd54c9262c7bae06c1	[6:15:16]	118
Key leaders including Khameini, Rouhani, and Foreign Minister Jared Zarif	064	Share intelligence or information	Twitter through proxy servers	9dd75f9c22c2734c8d3854e4b66066d8	[4:11:13]	119
Hamas	060	Engage in material cooperation	Gaza tunnels	1b1823f5eb6f7a02b8e79e7aaa452a88	[7:21:22]	120
MOL Group	061	Cooperate economically	Iran	b9da6c9b8de26d42c4279edf3839e492	[1:0:4]	121
MOL Group	061	Cooperate economically	Iran	b9da6c9b8de26d42c4279edf3839e492	[3:8:11]	122
Tehran and Beijing	062	Cooperate militarily	for regional and global peace	00df6b0f0fb85e35529aad5efdef17d4	[3:10:12]	123
Tehran and Beijing	061	Cooperate economically	in trade	00df6b0f0fb85e35529aad5efdef17d4	[5:18:19]	124
Iran	061	Cooperate economically	Pakistan	283f55d74be68619b0a5f8a66981ef15	[0:0:0]	125
Pakistan State Oil	061	Cooperate economically	United Arab Emirates	283f55d74be68619b0a5f8a66981ef15	[1:0:0]	126
Pakistan State Oil	061	Cooperate economically	Saudi Arabia	283f55d74be68619b0a5f8a66981ef15	[1:0:0]	127
Iran	061	Cooperate economically	Europe	b13c22da24aa64beaf6fa1dd5bd50ad2	[0:0:0]	128
Iran	061	Cooperate economically	Europe	b13c22da24aa64beaf6fa1dd5bd50ad2	[1:0:3]	129
Iran	061	Cooperate economically	Asia	b13c22da24aa64beaf6fa1dd5bd50ad2	[1:0:3]	130
Litasco	061	Cooperate economically	Iran	b13c22da24aa64beaf6fa1dd5bd50ad2	[1:0:3]	131
Israel	062	Cooperate militarily	US	a906f240670be23f22ae2efdfe0a5534	[4:9:11]	132
Mossad	1222	Reject request for military aid	US	a906f240670be23f22ae2efdfe0a5534	[5:12:13]	133
Israel	062	Cooperate militarily	US	a906f240670be23f22ae2efdfe0a5534	[6:14:16]	134
Israel and the US	062	Cooperate militarily	Iran	a906f240670be23f22ae2efdfe0a5534	[6:14:16]	135
Mossad	064	Share intelligence or information	CIA	a906f240670be23f22ae2efdfe0a5534	[7:17:18]	136
Israel	064	Share intelligence or information	US	a906f240670be23f22ae2efdfe0a5534	[7:17:18]	137
Iran	062	Cooperate militarily	Russia	a906f240670be23f22ae2efdfe0a5534	[14:36:39]	138
Iran	061	Cooperate economically	China's One Belt, One Road initiative	2345002fd437176b13a466ca58cf1d91	[1:0:5]	139
Hamas	060	Engage in material cooperation	Israel	1b61e4ddc0a1b2669143b215fa182477	[1:0:2]	140
Israel	060	Engage in material cooperation	Hamas	1b61e4ddc0a1b2669143b215fa182477	[3:7:10]	141
Israel	060	Engage in material cooperation	Hamas	1b61e4ddc0a1b2669143b215fa182477	[4:11:12]	142
Iran	062	Cooperate militarily	Russia	85d781990b7cbd50b8824af82191ac97	[0:0:0]	143
Iran	062	Cooperate militarily	Russia	85d781990b7cbd50b8824af82191ac97	[1:0:1]	144
Iran	062	Cooperate militarily	Russia	85d781990b7cbd50b8824af82191ac97	[2:2:3]	145
Iran	062	Cooperate militarily	Russia	85d781990b7cbd50b8824af82191ac97	[2:2:3]	146
Iran	061	Cooperate economically	Indonesia	2c1158e76a54407b3bcc692414fd91e0	[0:0:0]	147
Pertamina	061	Cooperate economically	National Iranian Oil Company	2c1158e76a54407b3bcc692414fd91e0	[1:0:2]	148
Pertamina	061	Cooperate economically	National Iranian Oil Company	2c1158e76a54407b3bcc692414fd91e0	[2:3:6]	149
NIOC	061	Cooperate economically	Indonesia	2c1158e76a54407b3bcc692414fd91e0	[2:3:6]	150
Israeli Energy Minister Yuval Steinitz	060	Engage in material cooperation	Turkey	7200742766bb4f2738555b0f9fdde208	[2:3:6]	151
Turkish Foreign Ministry	060	Engage in material cooperation	Israel	7200742766bb4f2738555b0f9fdde208	[2:3:6]	152
Leaders in Ankara and Jerusalem	060	Engage in material cooperation	bilateral relations	7200742766bb4f2738555b0f9fdde208	[3:7:9]	153
Iran	062	Cooperate militarily	Russia	f286d1733a95ecc58da8401f925a0b65	[1:0:1]	154
Kyrgyz officials	061	Cooperate economically	Iranian officials	db7a1b023f0c9fc20347931859c0c506	[1:0:4]	155
Kyrgyzstan	0311	Express intent to cooperate economically	Iran	db7a1b023f0c9fc20347931859c0c506	[1:0:4]	156
Iran	061	Cooperate economically	Afghanistan, Tajikistan, Kyrgyzstan, China	db7a1b023f0c9fc20347931859c0c506	[1:0:4]	157
Israel	064	Share intelligence or information	CTBT signatory states including Israel, Iran, Egypt and the United States	8c258a70eeaf27d0f1241a1d3ea20522	[1:0:2]	158
Russia	062	Cooperate militarily	Iran	5df1f77aac613053e5e567a02d6e2917	[1:0:1]	159
Israeli government	061	Cooperate economically	Hamas	5d352fc9a31c96127331901a920d44a9	[2:1:1]	160
Qatar	061	Cooperate economically	Hamas government	5d352fc9a31c96127331901a920d44a9	[6:7:8]	161
Israel	061	Cooperate economically	Hamas government	5d352fc9a31c96127331901a920d44a9	[7:9:10]	162
Turkey	061	Cooperate economically	Gaza	d28c61d7e7eafd474ef011363fd575aa	[1:0:2]	163
Turkey	061	Cooperate economically	Gaza	d28c61d7e7eafd474ef011363fd575aa	[2:3:4]	164
Russia	062	Cooperate militarily	Assad government	e463e8aee7184485f74db2b37b5d0826	[4:7:7]	165
Iran	062	Cooperate militarily	Assad government	e463e8aee7184485f74db2b37b5d0826	[4:7:7]	166
Hezbollah	062	Cooperate militarily	Assad government	e463e8aee7184485f74db2b37b5d0826	[4:7:7]	167
United States	062	Cooperate militarily	Mujahideen in Afghanistan	e463e8aee7184485f74db2b37b5d0826	[5:8:9]	168
United States	060	Engage in material cooperation	ISIS by invading Iraq	e463e8aee7184485f74db2b37b5d0826	[5:8:9]	169
Egypt and Israel	061	Cooperate economically	Open Borders	d321786003072c49181a8d72dd3545a5	[0:0:0]	170
Menachem Begin and Anwer Sadat	0862	Receive inspectors	El Arish Sovereignty	d321786003072c49181a8d72dd3545a5	[1:0:2]	171
US President Barack Obama	062	Cooperate militarily	Israel	6e251eaa3e6e79c91869c36440ed9dc4	[5:12:15]	172
Russia	062	Cooperate militarily	Iran	930e9c97a674f1ec9eac1ea9964fa10a	[1:0:3]	173
Russia and Iran	062	Cooperate militarily	S-300 batteries	930e9c97a674f1ec9eac1ea9964fa10a	[3:7:10]	174
Ansar al-Dawla al-Islamiyya	060	Engage in material cooperation	Daesh	f6d3263e96ec37a9a0f17482f3fcb45f	[3:6:8]	175
Israel	061	Cooperate economically	Egypt	b18d0b2e4889717ef2c4796b690029e6	[1:0:1]	176
Iran and six world powers	0311	Express intent to cooperate economically	Iran's nuclear program	1c21d86fa4df7de7b7c4961984ec0c70	[4:10:13]	177
Hamas	060	Engage in material cooperation	IS	e1bcde2075aff48afea9882677469e83	[0:0:0]	178
Hamas	062	Cooperate militarily	Islamic State	e1bcde2075aff48afea9882677469e83	[3:4:5]	179
Hamas	062	Cooperate militarily	Islamic State	e1bcde2075aff48afea9882677469e83	[5:8:10]	180
Russia	062	Cooperate militarily	Syria	50e98bd0ec3d5376c5f55bf55a217cad	[2:2:3]	181
Iran	061	Cooperate economically	Europe	64a16c21297d7cbfa632386a1672928c	[0:0:0]	182
Iran	061	Cooperate economically	the US	64a16c21297d7cbfa632386a1672928c	[2:5:8]	183
Iran	0311	Express intent to cooperate economically	UK	64a16c21297d7cbfa632386a1672928c	[2:5:8]	184
Iran	061	Cooperate economically	France	64a16c21297d7cbfa632386a1672928c	[2:5:8]	185
Iran	061	Cooperate economically	Russia	64a16c21297d7cbfa632386a1672928c	[2:5:8]	186
Iran	061	Cooperate economically	China	64a16c21297d7cbfa632386a1672928c	[2:5:8]	187
Iran	061	Cooperate economically	Germany	64a16c21297d7cbfa632386a1672928c	[2:5:8]	188
Israel	060	Engage in material cooperation	Palestinian Authority	bd3a5555021149f9d200c424e2d71ad2	[0:0:0]	189
Russia	062	Cooperate militarily	Iran	5338ae3c10103b88b8a8b5cbec553dd3	[2:4:8]	190
Russia	062	Cooperate militarily	Hezbollah	5338ae3c10103b88b8a8b5cbec553dd3	[2:4:8]	191
Russia	062	Cooperate militarily	Iran	52a23292b473e5f27e84c0bb21e2ad84	[0:0:0]	192
Russia	061	Cooperate economically	Iran	52a23292b473e5f27e84c0bb21e2ad84	[2:3:5]	193
Iran	061	Cooperate economically	Russia	52a23292b473e5f27e84c0bb21e2ad84	[3:6:7]	194
European ship	061	Cooperate economically	Iran	4fd6e16061d8bf9c4cf84cbe0fea23e3	[0:0:0]	195
Israel patrol	062	Cooperate militarily	Egypt patrol (with context of firing)	dff9eab49e5e8854b1874bd770d8bf4a	[2:3:4]	196
Paramilitary Shiite forces	062	Cooperate militarily	Islamic Revolutionary Guard Corps (IRGC)	b8df1c3d514c018ff226aca7e3aafec2	[1:0:1]	197
Quds Force Cmdr. Soleimani	062	Cooperate militarily	Badr Brigade Cmdr. Hadi al-Ameri	b8df1c3d514c018ff226aca7e3aafec2	[2:2:3]	198
Badr Brigade Cmdr. Hadi al-Ameri	062	Cooperate militarily	Quds Force Cmdr. Soleimani	b8df1c3d514c018ff226aca7e3aafec2	[2:2:3]	199
Quds Force Cmdr. Soleimani	062	Cooperate militarily	Imam Ali Brigade Cmdrs. Abu Mahdi al-Muhandis and Shabal al-Zaidi	b8df1c3d514c018ff226aca7e3aafec2	[2:2:3]	200
Imam Ali Brigade Cmdrs. Abu Mahdi al-Muhandis and Shabal al-Zaidi	1385	Threaten to use unconventional mass violence	Quds Force Cmdr. Soleimani	b8df1c3d514c018ff226aca7e3aafec2	[2:2:3]	201
Imam Ali Brigade	062	Cooperate militarily	Iraqi army	b8df1c3d514c018ff226aca7e3aafec2	[3:4:5]	202
Islamic Revolutionary Guard Corps (IRGC)	062	Cooperate militarily	government and Iraq's Shiite population	b8df1c3d514c018ff226aca7e3aafec2	[7:12:13]	203
EU High Representative Federica Mogherini	061	Cooperate economically	Iran's Foreign Minister Mohammad Javad Zarif	23f8ae48ea05bccb2ce3928600c36a5d	[1:0:4]	204
Iran and China	061	Cooperate economically	non-oil goods trade	23f8ae48ea05bccb2ce3928600c36a5d	[2:5:7]	205
Chinese President Xi Jinping	061	Cooperate economically	Middle East countries	23f8ae48ea05bccb2ce3928600c36a5d	[3:8:11]	206
Thai military	062	Cooperate militarily	Russia	717cbd8b4baec9a61cd70740a70760b7	[1:0:3]	207
Russian Helicopters	061	Cooperate economically	regional partners including India, China, Indonesia, Vietnam, Myanmar, Sri Lanka, Thailand and Bangladesh	717cbd8b4baec9a61cd70740a70760b7	[1:0:3]	208
Russia	062	Cooperate militarily	Thailand	717cbd8b4baec9a61cd70740a70760b7	[2:4:7]	209
Russian trade minister	0311	Express intent to cooperate economically	Thailand	717cbd8b4baec9a61cd70740a70760b7	[2:4:7]	210
Sunni Arab states	060	Engage in material cooperation	Turkey	49bf57c7404742602b97bbdbeaca9163	[4:3:3]	211
Israel	1384	Threaten to use conventional attack	Turkey	785d69ead96d3ad3f1530c177d8d1ea3	[1:0:5]	212
Saudi Arabia	061	Cooperate economically	OPEC quotas	f4d7e15ec92afc3aca292c27b82c841f	[3:11:12]	213
Russia	062	Cooperate militarily	Syria	d63948502ffe285b17e70a7ca5c5b489	[1:0:3]	214
Russia	062	Cooperate militarily	Syria	d63948502ffe285b17e70a7ca5c5b489	[2:4:6]	215
Russia	062	Cooperate militarily	Syria	d63948502ffe285b17e70a7ca5c5b489	[5:15:17]	216
Iran	0311	Express intent to cooperate economically	in Syria	0987b9066fffc7656abcf751e96938ff	[1:0:0]	217
Iran	062	Cooperate militarily	Iraq	d11ea7ffac4af49a1893ec814449c079	[1:0:3]	218
Iran	1233	Reject request for rights	Iraq	d11ea7ffac4af49a1893ec814449c079	[2:4:8]	219
Iran	062	Cooperate militarily	Iraq	d11ea7ffac4af49a1893ec814449c079	[3:9:12]	220
Iran	062	Cooperate militarily	Iraq	d11ea7ffac4af49a1893ec814449c079	[4:13:18]	221
Quds force	062	Cooperate militarily	Iraq	d11ea7ffac4af49a1893ec814449c079	[4:13:18]	222
Iran	062	Cooperate militarily	Badr Organization	d11ea7ffac4af49a1893ec814449c079	[5:19:20]	223
Iran	060	Engage in material cooperation	Iraq	d11ea7ffac4af49a1893ec814449c079	[9:33:34]	224
Iran	060	Engage in material cooperation	Iraq	4598e35e8a8fbdba7473579e7fb5fed9	[0:0:0]	225
Iran	0332	Express intent to provide military aid	Iraq	4598e35e8a8fbdba7473579e7fb5fed9	[1:0:4]	226
Iran	060	Engage in material cooperation	Iraq	4598e35e8a8fbdba7473579e7fb5fed9	[2:5:7]	227
Iran Khodro	061	Cooperate economically	Azerbaijan	7780c2f6cde56c158e74ed153365d415	[1:0:5]	228
Russia	062	Cooperate militarily	Israel	0ad0c9df40fe5374f0277414479b17b9	[2:2:3]	229
Israel	060	Engage in material cooperation	Palestinian administrative detainee Mohammed Alan	423ce34f4f9205a7f2dde9edc653057d	[3:5:6]	230
Iraqi troops	062	Cooperate militarily	mainly Shi'ite Muslim militia	717553d68339bfd133dcc7ee5fcf1d67	[1:0:4]	231
Iraq	062	Cooperate militarily	Iran	717553d68339bfd133dcc7ee5fcf1d67	[4:13:15]	232
U.S.-led coalition	062	Cooperate militarily	Iraq	bcdc42b6064236114fa49c5c39227d5f	[1:0:4]	233
Iraqi troops	062	Cooperate militarily	Hashid Shaabi	bcdc42b6064236114fa49c5c39227d5f	[3:8:10]	234
China	0311	Express intent to cooperate economically	Iran	79c178342d8b99eba294ab2517b0ad6b	[0:0:0]	235
Israel	061	Cooperate economically	Gaza banks	f7c7249912236fad55a6b5957c1d8110	[0:0:0]	236
Turkey	061	Cooperate economically	Gaza banks	f7c7249912236fad55a6b5957c1d8110	[0:0:0]	237
Israel	061	Cooperate economically	Gaza strip	f7c7249912236fad55a6b5957c1d8110	[1:0:2]	238
Turkey	061	Cooperate economically	Gaza strip	f7c7249912236fad55a6b5957c1d8110	[1:0:2]	239
Azerbaijan	1054	Demand easing of economic sanctions, boycott, or embargo	Iran	8977f3f4955a9b43bd9ee6edb1d65d4c	[0:0:0]	240
Iran	061	Cooperate economically	Azerbaijan	8977f3f4955a9b43bd9ee6edb1d65d4c	[0:0:0]	241
