Actor1Name	EventCode	RelationName	Actor2Name	day	timid	ce_id	Md5	Md5_list	URL	URL_list	atomic_events	timespan	timdiff	relative_time	is_Uniform	is_drop
Israel	010	Make public statement	Egypt	2015-02-28	9	7	30372e8ad02c101e80a46f1f20466b32	30372e8ad02c101e80a46f1f20466b32	http://www.jta.org/1978/02/28/archive/israel-returns-to-egypt-revised-proposals-for-joint-declaration	['http://www.jta.org/1978/02/28/archive/israel-returns-to-egypt-revised-proposals-for-joint-declaration']	65	54	0.0	9.0	True	False
Egypt	020	Appeal for economic cooperation	Israel	2015-03-01	10	7	5b5bc35eb6b9a755ebf29d9e7e199c43	5b5bc35eb6b9a755ebf29d9e7e199c43, 5fda6f07e97bddb85d006b752826a7c4	http://www.jta.org/1978/03/01/archive/dayan-blames-egypt-for-impasse-says-israel-prefers-direct-talks-with-egypt-rather-than-through-u-s	['http://www.jta.org/1978/03/01/archive/dayan-blames-egypt-for-impasse-says-israel-prefers-direct-talks-with-egypt-rather-than-through-u-s', 'http://www.jta.org/1993/03/01/archive/mubarak-sends-adviser-to-israel-to-help-get-peace-talks-on-track']	65	54	1.0	10.0	True	False
Israel	110	Criticize or denounce	Egypt	2015-03-01	10	7	5b5bc35eb6b9a755ebf29d9e7e199c43	5b5bc35eb6b9a755ebf29d9e7e199c43	http://www.jta.org/1978/03/01/archive/dayan-blames-egypt-for-impasse-says-israel-prefers-direct-talks-with-egypt-rather-than-through-u-s	['http://www.jta.org/1978/03/01/archive/dayan-blames-egypt-for-impasse-says-israel-prefers-direct-talks-with-egypt-rather-than-through-u-s']	65	54	0.0	10.0	True	False
Anwar Sadat	010	Express accord	Menachem Begin	2015-03-03	12	7	9b50f725dcff8f4ddf9bd3b938353cb7	9b50f725dcff8f4ddf9bd3b938353cb7	http://www.jta.org/1978/03/03/archive/begin-receives-friendly-letter-from-sadat-leading-to-speculation-that-the-two-leaders-may-meet-again	['http://www.jta.org/1978/03/03/archive/begin-receives-friendly-letter-from-sadat-leading-to-speculation-that-the-two-leaders-may-meet-again']	65	54	2.0	12.0	True	False
Menachem Begin	020	Appeal for material cooperation	Anwar Sadat	2015-03-03	12	7	9b50f725dcff8f4ddf9bd3b938353cb7	9b50f725dcff8f4ddf9bd3b938353cb7	http://www.jta.org/1978/03/03/archive/begin-receives-friendly-letter-from-sadat-leading-to-speculation-that-the-two-leaders-may-meet-again	['http://www.jta.org/1978/03/03/archive/begin-receives-friendly-letter-from-sadat-leading-to-speculation-that-the-two-leaders-may-meet-again']	65	54	0.0	12.0	True	False
Egypt	010	Decline comment	United States	2015-03-04	13	7	87b579605bac4f4b0c837ca7592cbdcb	87b579605bac4f4b0c837ca7592cbdcb	http://www.jta.org/1983/03/04/archive/israel-and-egypt-resume-talks-on-disputed-taba-region	['http://www.jta.org/1983/03/04/archive/israel-and-egypt-resume-talks-on-disputed-taba-region']	65	54	1.0	13.0	True	False
Egypt	010	Decline comment	Israel	2015-03-04	13	7	87b579605bac4f4b0c837ca7592cbdcb	87b579605bac4f4b0c837ca7592cbdcb	http://www.jta.org/1983/03/04/archive/israel-and-egypt-resume-talks-on-disputed-taba-region	['http://www.jta.org/1983/03/04/archive/israel-and-egypt-resume-talks-on-disputed-taba-region']	65	54	0.0	13.0	True	False
Israel	010	Decline comment	Egypt	2015-03-04	13	7	87b579605bac4f4b0c837ca7592cbdcb	87b579605bac4f4b0c837ca7592cbdcb	http://www.jta.org/1983/03/04/archive/israel-and-egypt-resume-talks-on-disputed-taba-region	['http://www.jta.org/1983/03/04/archive/israel-and-egypt-resume-talks-on-disputed-taba-region']	65	54	0.0	13.0	True	False
Egypt	010	Decline comment	Soviet Union	2015-03-04	13	7	87b579605bac4f4b0c837ca7592cbdcb	87b579605bac4f4b0c837ca7592cbdcb	http://www.jta.org/1983/03/04/archive/israel-and-egypt-resume-talks-on-disputed-taba-region	['http://www.jta.org/1983/03/04/archive/israel-and-egypt-resume-talks-on-disputed-taba-region']	65	54	0.0	13.0	True	False
Egypt	010	Decline comment	United Nations	2015-03-04	13	7	87b579605bac4f4b0c837ca7592cbdcb	87b579605bac4f4b0c837ca7592cbdcb	http://www.jta.org/1983/03/04/archive/israel-and-egypt-resume-talks-on-disputed-taba-region	['http://www.jta.org/1983/03/04/archive/israel-and-egypt-resume-talks-on-disputed-taba-region']	65	54	0.0	13.0	True	False
Menachem Begin	040	Engage in negotiation	Egypt	2015-03-05	14	7	c17817678bef651236af511a7035d188	c17817678bef651236af511a7035d188	http://www.jta.org/1979/03/05/archive/begin-denies-seeking-separate-peace-with-egypt-says-israel-wants-comprehensive-peace-with-neighbors	['http://www.jta.org/1979/03/05/archive/begin-denies-seeking-separate-peace-with-egypt-says-israel-wants-comprehensive-peace-with-neighbors']	65	54	1.0	14.0	True	False
Israel	050	Engage in diplomatic cooperation	United States	2015-03-06	15	7	746c64ca657d52c93f0ede23d29b1d34	746c64ca657d52c93f0ede23d29b1d34	http://www.jta.org/1979/03/06/archive/dramatic-turn-in-peace-talks-carter-to-meet-with-sadat-in-cairo-and-with-begin-in-jerusalem	['http://www.jta.org/1979/03/06/archive/dramatic-turn-in-peace-talks-carter-to-meet-with-sadat-in-cairo-and-with-begin-in-jerusalem']	65	54	1.0	15.0	True	False
Menachem Begin	040	Engage in negotiation	Anwar Sadat	2015-03-06	15	7	b93714113ec61af3383bcaacb6f4eb04	b93714113ec61af3383bcaacb6f4eb04	http://www.jta.org/1978/03/06/archive/begin-responds-to-sadats-letter-says-spirit-of-the-letters-shows-both-sides-want-to-resume-negotia	['http://www.jta.org/1978/03/06/archive/begin-responds-to-sadats-letter-says-spirit-of-the-letters-shows-both-sides-want-to-resume-negotia']	65	54	0.0	15.0	True	False
United States	030	Express intent to engage in diplomatic cooperation (such as policy support)	Egypt	2015-03-06	15	7	b93714113ec61af3383bcaacb6f4eb04	b93714113ec61af3383bcaacb6f4eb04	http://www.jta.org/1978/03/06/archive/begin-responds-to-sadats-letter-says-spirit-of-the-letters-shows-both-sides-want-to-resume-negotia	['http://www.jta.org/1978/03/06/archive/begin-responds-to-sadats-letter-says-spirit-of-the-letters-shows-both-sides-want-to-resume-negotia']	65	54	0.0	15.0	True	False
Anwar Sadat	040	Engage in negotiation	Menachem Begin	2015-03-06	15	7	b93714113ec61af3383bcaacb6f4eb04	b93714113ec61af3383bcaacb6f4eb04	http://www.jta.org/1978/03/06/archive/begin-responds-to-sadats-letter-says-spirit-of-the-letters-shows-both-sides-want-to-resume-negotia	['http://www.jta.org/1978/03/06/archive/begin-responds-to-sadats-letter-says-spirit-of-the-letters-shows-both-sides-want-to-resume-negotia']	65	54	0.0	15.0	True	False
Israel	140	Engage in political dissent	United States	2015-03-06	15	7	b93714113ec61af3383bcaacb6f4eb04	b93714113ec61af3383bcaacb6f4eb04	http://www.jta.org/1978/03/06/archive/begin-responds-to-sadats-letter-says-spirit-of-the-letters-shows-both-sides-want-to-resume-negotia	['http://www.jta.org/1978/03/06/archive/begin-responds-to-sadats-letter-says-spirit-of-the-letters-shows-both-sides-want-to-resume-negotia']	65	54	0.0	15.0	True	False
United States	010	Consider policy option	Israel	2015-03-06	15	7	746c64ca657d52c93f0ede23d29b1d34	746c64ca657d52c93f0ede23d29b1d34	http://www.jta.org/1979/03/06/archive/dramatic-turn-in-peace-talks-carter-to-meet-with-sadat-in-cairo-and-with-begin-in-jerusalem	['http://www.jta.org/1979/03/06/archive/dramatic-turn-in-peace-talks-carter-to-meet-with-sadat-in-cairo-and-with-begin-in-jerusalem']	65	54	0.0	15.0	True	False
Israel	010	Make optimistic comment	Palestinian Liberation Organization (PLO)	2015-03-08	17	7	561d43207bd6a2e831817dc8009e0e26	561d43207bd6a2e831817dc8009e0e26	http://www.jta.org/1994/03/08/archive/arafat-meets-in-cairo-with-israeli-first-talks-since-hebron-killings	['http://www.jta.org/1994/03/08/archive/arafat-meets-in-cairo-with-israeli-first-talks-since-hebron-killings']	65	54	2.0	17.0	True	False
Egypt	020	Appeal for material cooperation	Syria	2015-03-12	21	7	7ea950478101e7cb5c3b8213c0a84758	7ea950478101e7cb5c3b8213c0a84758	http://www.jta.org/1984/03/12/archive/mubarak-says-he-wont-cancel-peace-treaty-with-israel-as-price-of-regaining-arab-league-membership	['http://www.jta.org/1984/03/12/archive/mubarak-says-he-wont-cancel-peace-treaty-with-israel-as-price-of-regaining-arab-league-membership']	65	54	4.0	21.0	True	False
Syria	020	Make an appeal or request	Egypt	2015-03-12	21	7	7ea950478101e7cb5c3b8213c0a84758	7ea950478101e7cb5c3b8213c0a84758	http://www.jta.org/1984/03/12/archive/mubarak-says-he-wont-cancel-peace-treaty-with-israel-as-price-of-regaining-arab-league-membership	['http://www.jta.org/1984/03/12/archive/mubarak-says-he-wont-cancel-peace-treaty-with-israel-as-price-of-regaining-arab-league-membership']	65	54	0.0	21.0	True	False
Egypt	010	Decline comment	Israel	2015-03-12	21	7	7ea950478101e7cb5c3b8213c0a84758	7ea950478101e7cb5c3b8213c0a84758	http://www.jta.org/1984/03/12/archive/mubarak-says-he-wont-cancel-peace-treaty-with-israel-as-price-of-regaining-arab-league-membership	['http://www.jta.org/1984/03/12/archive/mubarak-says-he-wont-cancel-peace-treaty-with-israel-as-price-of-regaining-arab-league-membership']	65	54	0.0	21.0	True	False
Egyptian President Abdel Fattah al-Sisi	010	Decline comment	Israel	2015-03-15	24	7	bccebdcdd695078f9d366d52c4b9a218	bccebdcdd695078f9d366d52c4b9a218	http://www.ynetnews.com/articles/0,7340,L-4637169,00.html	['http://www.ynetnews.com/articles/0,7340,L-4637169,00.html']	65	54	3.0	24.0	True	False
Israel	010	Decline comment	Egypt	2015-03-15	24	7	bccebdcdd695078f9d366d52c4b9a218	bccebdcdd695078f9d366d52c4b9a218	http://www.ynetnews.com/articles/0,7340,L-4637169,00.html	['http://www.ynetnews.com/articles/0,7340,L-4637169,00.html']	65	54	0.0	24.0	True	False
Egypt	050	Engage in diplomatic cooperation	Israel	2015-03-18	27	7	b67b9c176bf87707b54b6e903d5d2e8f	b67b9c176bf87707b54b6e903d5d2e8f	http://www.jta.org/1982/03/18/archive/egypt-israel-fail-to-settle-differences-over-sinai-border-but-hope-to-resolve-them-by-april-25	['http://www.jta.org/1982/03/18/archive/egypt-israel-fail-to-settle-differences-over-sinai-border-but-hope-to-resolve-them-by-april-25']	65	54	3.0	27.0	True	False
Egypt	010	Decline comment	Israel	2015-03-18	27	7	b67b9c176bf87707b54b6e903d5d2e8f	b67b9c176bf87707b54b6e903d5d2e8f	http://www.jta.org/1982/03/18/archive/egypt-israel-fail-to-settle-differences-over-sinai-border-but-hope-to-resolve-them-by-april-25	['http://www.jta.org/1982/03/18/archive/egypt-israel-fail-to-settle-differences-over-sinai-border-but-hope-to-resolve-them-by-april-25']	65	54	0.0	27.0	True	False
Israel	030	Express intent to engage in diplomatic cooperation (such as policy support)	Egypt	2015-03-19	28	7	35138a70978b83f06c4964ebebf43c46	35138a70978b83f06c4964ebebf43c46	http://www.jta.org/1980/03/19/archive/shamir-says-may-26-is-not-the-final-deadline-for-autonomy-talks-but-merely-a-desired-date	['http://www.jta.org/1980/03/19/archive/shamir-says-may-26-is-not-the-final-deadline-for-autonomy-talks-but-merely-a-desired-date']	65	54	1.0	28.0	True	False
Egypt	010	Decline comment	Israel-Palestine	2015-03-22	31	7	eb89cf6931614bdb8d496f7bdc998b16	eb89cf6931614bdb8d496f7bdc998b16	http://blogs.timesofisrael.com/egypt-needs-an-israeli-palestinian-peace-push/	['http://blogs.timesofisrael.com/egypt-needs-an-israeli-palestinian-peace-push/']	65	54	3.0	31.0	True	False
Israel government	090	Investigate human rights abuses	Egypt government	2015-03-24	33	7	f617ce801164621dc99c23fa09656393	f617ce801164621dc99c23fa09656393	http://www.jta.org/1986/03/24/archive/israel-confident-egypt-will-do-all-it-can-to-apprehend-ambush-terrorists	['http://www.jta.org/1986/03/24/archive/israel-confident-egypt-will-do-all-it-can-to-apprehend-ambush-terrorists']	65	54	2.0	33.0	True	False
Israel	030	Express intent to engage in diplomatic cooperation (such as policy support)	Egypt	2015-03-24	33	7	fd7282e0e842c28ec05dd6539177e607	fd7282e0e842c28ec05dd6539177e607	http://www.jta.org/1955/03/24/archive/israel-challenges-egypt-to-settle-disputes-by-peaceful-means	['http://www.jta.org/1955/03/24/archive/israel-challenges-egypt-to-settle-disputes-by-peaceful-means']	65	54	0.0	33.0	True	False
Israel	100	Demand	Egypt	2015-03-24	33	7	f617ce801164621dc99c23fa09656393	f617ce801164621dc99c23fa09656393	http://www.jta.org/1986/03/24/archive/israel-confident-egypt-will-do-all-it-can-to-apprehend-ambush-terrorists	['http://www.jta.org/1986/03/24/archive/israel-confident-egypt-will-do-all-it-can-to-apprehend-ambush-terrorists']	65	54	0.0	33.0	True	False
Israel	010	Decline comment	Egypt	2015-03-27	36	7	c158ce30941834daa21d0aef7bb8f86f	c158ce30941834daa21d0aef7bb8f86f	http://www.jta.org/1984/03/27/archive/shamir-sends-warm-greeting-to-mubarak-on-fifth-anniversary-of-israel-egypt-peace-treaty	['http://www.jta.org/1984/03/27/archive/shamir-sends-warm-greeting-to-mubarak-on-fifth-anniversary-of-israel-egypt-peace-treaty']	65	54	3.0	36.0	True	False
Egypt	030	Express intent to engage in diplomatic cooperation (such as policy support)	Israel	2015-03-27	36	7	fee9eabf4d3de7c617226ddbf718d069	fee9eabf4d3de7c617226ddbf718d069	http://www.jta.org/1989/03/27/archive/10-years-later-begin-disappointed-with-pace-of-israeli-egyptian-peace	['http://www.jta.org/1989/03/27/archive/10-years-later-begin-disappointed-with-pace-of-israeli-egyptian-peace']	65	54	0.0	36.0	True	False
Palestine	100	Demand	Israel	2015-03-29	38	7	a1205e18c9a4a93819697769c881da32	a1205e18c9a4a93819697769c881da32	http://www.jta.org/1979/03/29/archive/cabinet-upset-over-reports-of-israeli-gestures-to-egypt	['http://www.jta.org/1979/03/29/archive/cabinet-upset-over-reports-of-israeli-gestures-to-egypt']	65	54	2.0	38.0	True	False
Palestine	050	Engage in diplomatic cooperation	Israel	2015-03-29	38	7	a1205e18c9a4a93819697769c881da32	a1205e18c9a4a93819697769c881da32	http://www.jta.org/1979/03/29/archive/cabinet-upset-over-reports-of-israeli-gestures-to-egypt	['http://www.jta.org/1979/03/29/archive/cabinet-upset-over-reports-of-israeli-gestures-to-egypt']	65	54	0.0	38.0	True	False
Palestine	020	Appeal for material cooperation	Israel government	2015-03-29	38	7	a1205e18c9a4a93819697769c881da32	a1205e18c9a4a93819697769c881da32	http://www.jta.org/1979/03/29/archive/cabinet-upset-over-reports-of-israeli-gestures-to-egypt	['http://www.jta.org/1979/03/29/archive/cabinet-upset-over-reports-of-israeli-gestures-to-egypt']	65	54	0.0	38.0	True	False
Israel	060	Engage in material cooperation	Palestine	2015-03-29	38	7	a1205e18c9a4a93819697769c881da32	a1205e18c9a4a93819697769c881da32	http://www.jta.org/1979/03/29/archive/cabinet-upset-over-reports-of-israeli-gestures-to-egypt	['http://www.jta.org/1979/03/29/archive/cabinet-upset-over-reports-of-israeli-gestures-to-egypt']	65	54	0.0	38.0	True	False
Israel	110	Criticize or denounce	Palestine	2015-03-29	38	7	a1205e18c9a4a93819697769c881da32	a1205e18c9a4a93819697769c881da32	http://www.jta.org/1979/03/29/archive/cabinet-upset-over-reports-of-israeli-gestures-to-egypt	['http://www.jta.org/1979/03/29/archive/cabinet-upset-over-reports-of-israeli-gestures-to-egypt']	65	54	0.0	38.0	True	False
Palestine	120	Reject request or demand for material aid	Israel	2015-03-29	38	7	a1205e18c9a4a93819697769c881da32	a1205e18c9a4a93819697769c881da32	http://www.jta.org/1979/03/29/archive/cabinet-upset-over-reports-of-israeli-gestures-to-egypt	['http://www.jta.org/1979/03/29/archive/cabinet-upset-over-reports-of-israeli-gestures-to-egypt']	65	54	0.0	38.0	True	False
Israel	130	Threaten with restrictions on political freedoms	Palestine	2015-03-29	38	7	a1205e18c9a4a93819697769c881da32	a1205e18c9a4a93819697769c881da32	http://www.jta.org/1979/03/29/archive/cabinet-upset-over-reports-of-israeli-gestures-to-egypt	['http://www.jta.org/1979/03/29/archive/cabinet-upset-over-reports-of-israeli-gestures-to-egypt']	65	54	0.0	38.0	True	False
Israel	040	Engage in negotiation	Palestine	2015-03-29	38	7	a1205e18c9a4a93819697769c881da32	a1205e18c9a4a93819697769c881da32	http://www.jta.org/1979/03/29/archive/cabinet-upset-over-reports-of-israeli-gestures-to-egypt	['http://www.jta.org/1979/03/29/archive/cabinet-upset-over-reports-of-israeli-gestures-to-egypt']	65	54	0.0	38.0	True	False
Palestine	070	Provide economic aid	Israel	2015-03-29	38	7	a1205e18c9a4a93819697769c881da32	a1205e18c9a4a93819697769c881da32	http://www.jta.org/1979/03/29/archive/cabinet-upset-over-reports-of-israeli-gestures-to-egypt	['http://www.jta.org/1979/03/29/archive/cabinet-upset-over-reports-of-israeli-gestures-to-egypt']	65	54	0.0	38.0	True	False
Israel government	030	Express intent to engage in material cooperation	Palestine	2015-03-29	38	7	a1205e18c9a4a93819697769c881da32	a1205e18c9a4a93819697769c881da32	http://www.jta.org/1979/03/29/archive/cabinet-upset-over-reports-of-israeli-gestures-to-egypt	['http://www.jta.org/1979/03/29/archive/cabinet-upset-over-reports-of-israeli-gestures-to-egypt']	65	54	0.0	38.0	True	False
Israel	010	Make public statement	Palestine	2015-03-29	38	7	a1205e18c9a4a93819697769c881da32	a1205e18c9a4a93819697769c881da32	http://www.jta.org/1979/03/29/archive/cabinet-upset-over-reports-of-israeli-gestures-to-egypt	['http://www.jta.org/1979/03/29/archive/cabinet-upset-over-reports-of-israeli-gestures-to-egypt']	65	54	0.0	38.0	True	False
Israel	090	Investigate human rights abuses	Palestine	2015-03-29	38	7	a1205e18c9a4a93819697769c881da32	a1205e18c9a4a93819697769c881da32	http://www.jta.org/1979/03/29/archive/cabinet-upset-over-reports-of-israeli-gestures-to-egypt	['http://www.jta.org/1979/03/29/archive/cabinet-upset-over-reports-of-israeli-gestures-to-egypt']	65	54	0.0	38.0	True	False
Israel	030	Express intent to cooperate economically	Egypt	2015-04-04	44	7	d321786003072c49181a8d72dd3545a5	d321786003072c49181a8d72dd3545a5	http://www.jta.org/1979/04/04/archive/egypt-and-israll-to-declare-open-borders-next-month-begin-and-sadat-to-meet-in-el-arish-and-both-wi	['http://www.jta.org/1979/04/04/archive/egypt-and-israll-to-declare-open-borders-next-month-begin-and-sadat-to-meet-in-el-arish-and-both-wi']	65	54	6.0	44.0	True	False
Egypt	050	Sign formal agreement	Israel	2015-04-04	44	7	d321786003072c49181a8d72dd3545a5	d321786003072c49181a8d72dd3545a5	http://www.jta.org/1979/04/04/archive/egypt-and-israll-to-declare-open-borders-next-month-begin-and-sadat-to-meet-in-el-arish-and-both-wi	['http://www.jta.org/1979/04/04/archive/egypt-and-israll-to-declare-open-borders-next-month-begin-and-sadat-to-meet-in-el-arish-and-both-wi']	65	54	0.0	44.0	True	False
Anwar Sadat	020	Appeal for material cooperation	Menachem Begin	2015-04-05	45	7	b18d0b2e4889717ef2c4796b690029e6	b18d0b2e4889717ef2c4796b690029e6	http://www.jta.org/1979/04/05/archive/begin-outlines-series-of-agree-ments-he-reached-with-sadat	['http://www.jta.org/1979/04/05/archive/begin-outlines-series-of-agree-ments-he-reached-with-sadat']	65	54	1.0	45.0	True	False
Menachem Begin	200	Use unconventional mass force	Anwar Sadat	2015-04-05	45	7	b18d0b2e4889717ef2c4796b690029e6	b18d0b2e4889717ef2c4796b690029e6	http://www.jta.org/1979/04/05/archive/begin-outlines-series-of-agree-ments-he-reached-with-sadat	['http://www.jta.org/1979/04/05/archive/begin-outlines-series-of-agree-ments-he-reached-with-sadat']	65	54	0.0	45.0	True	False
Menachem Begin	060	Engage in material cooperation	Anwar Sadat	2015-04-05	45	7	b18d0b2e4889717ef2c4796b690029e6	b18d0b2e4889717ef2c4796b690029e6	http://www.jta.org/1979/04/05/archive/begin-outlines-series-of-agree-ments-he-reached-with-sadat	['http://www.jta.org/1979/04/05/archive/begin-outlines-series-of-agree-ments-he-reached-with-sadat']	65	54	0.0	45.0	True	False
Menachem Begin	020	Appeal for material cooperation	Anwar Sadat	2015-04-05	45	7	b18d0b2e4889717ef2c4796b690029e6	b18d0b2e4889717ef2c4796b690029e6	http://www.jta.org/1979/04/05/archive/begin-outlines-series-of-agree-ments-he-reached-with-sadat	['http://www.jta.org/1979/04/05/archive/begin-outlines-series-of-agree-ments-he-reached-with-sadat']	65	54	0.0	45.0	True	False
Anwar Sadat	060	Engage in material cooperation	Menachem Begin	2015-04-05	45	7	b18d0b2e4889717ef2c4796b690029e6	b18d0b2e4889717ef2c4796b690029e6	http://www.jta.org/1979/04/05/archive/begin-outlines-series-of-agree-ments-he-reached-with-sadat	['http://www.jta.org/1979/04/05/archive/begin-outlines-series-of-agree-ments-he-reached-with-sadat']	65	54	0.0	45.0	True	False
Israel	010	Make optimistic comment	United States	2015-04-06	46	7	bb1886b1132b22c4ba76ff92ae72fec5	bb1886b1132b22c4ba76ff92ae72fec5	http://www.jta.org/1970/04/06/archive/israel-welcomes-visit-of-sisco-to-country-and-his-visit-to-arab-states	['http://www.jta.org/1970/04/06/archive/israel-welcomes-visit-of-sisco-to-country-and-his-visit-to-arab-states']	65	54	1.0	46.0	True	False
Egypt	060	Cooperate militarily	Israel	2015-04-09	49	7	79d214026ca374f590962af65600ebf1	79d214026ca374f590962af65600ebf1	http://www.jta.org/1984/04/09/archive/arens-accuses-egypt-of-preparing-to-violate-the-military-terms-of-the-israeli-egyptian-peace-treaty	['http://www.jta.org/1984/04/09/archive/arens-accuses-egypt-of-preparing-to-violate-the-military-terms-of-the-israeli-egyptian-peace-treaty']	65	54	3.0	49.0	True	False
Israel	110	Criticize or denounce	Egypt	2015-04-09	49	7	79d214026ca374f590962af65600ebf1	79d214026ca374f590962af65600ebf1	http://www.jta.org/1984/04/09/archive/arens-accuses-egypt-of-preparing-to-violate-the-military-terms-of-the-israeli-egyptian-peace-treaty	['http://www.jta.org/1984/04/09/archive/arens-accuses-egypt-of-preparing-to-violate-the-military-terms-of-the-israeli-egyptian-peace-treaty']	65	54	0.0	49.0	True	False
Israel	010	Decline comment	Egypt	2015-04-14	54	7	b4d548ec54926db710a5abeed551b7f3	b4d548ec54926db710a5abeed551b7f3	http://www.jta.org/1982/04/14/archive/begin-israel-will-honor-its-peace-treaty-commitment-to-withdraw-from-sinai-by-april-25-deadline	['http://www.jta.org/1982/04/14/archive/begin-israel-will-honor-its-peace-treaty-commitment-to-withdraw-from-sinai-by-april-25-deadline']	65	54	5.0	54.0	True	False
Hamas	180	Carry out suicide bombing	Israel	2015-02-19	0	9	859fc96157484e73268e105e6222ce53	859fc96157484e73268e105e6222ce53	http://www.breakingisraelnews.com/30418/report-hamas-military-wing-fired-rockets-israel-lebanon-summer-war-middle-east/	['http://www.breakingisraelnews.com/30418/report-hamas-military-wing-fired-rockets-israel-lebanon-summer-war-middle-east/']	77	41	0.0	0.0	True	False
Hamas	060	Cooperate militarily	Palestinian children	2015-02-19	0	9	8bd851030e9ff5342aed1da504b35fde	8bd851030e9ff5342aed1da504b35fde	http://www.breakingisraelnews.com/30451/hamass-new-army-children-opinion/	['http://www.breakingisraelnews.com/30451/hamass-new-army-children-opinion/']	77	41	0.0	0.0	True	False
