Subject	Relation_id	Relation_choice	Object	Md5	Trunk	ID
Russia	062	Cooperate militarily	Syria	78cab62748ba638063e0d08ecd226eb3	[2:2:4]	345
Israeli military forces	062	Cooperate militarily	Israel Defence Force (IDF)	0bee837afeb990aba0415dcefa7c3432	[1:0:2]	347
Tehran	061	Cooperate economically	Muscat	aac68711387066dcc2395f12f67831c4	[1:0:0]	352
National Iranian South Oil Company	061	Cooperate economically	Kananj oil field	e5a9d42c6f2dea1d6e474423f4a9f121	[2:5:8]	357
National Iranian South Oil Company	061	Cooperate economically	Parsi oil field	e5a9d42c6f2dea1d6e474423f4a9f121	[2:5:8]	358
National Iranian South Oil Company	0311	Express intent to cooperate economically	Shayegan oil field	e5a9d42c6f2dea1d6e474423f4a9f121	[2:5:8]	360
CNPC	061	Cooperate economically	Tous gas field	e5a9d42c6f2dea1d6e474423f4a9f121	[3:9:9]	365
Iran's Petropars	061	Cooperate economically	Tous gas field	e5a9d42c6f2dea1d6e474423f4a9f121	[3:9:9]	366
Greece's biggest oil refiner Hellenic Petroleum	061	Cooperate economically	National Iranian Oil Company	1bf81dc8bc8618dec29e6c8f9895bb64	[1:0:3]	368
WikiLeaks	064	Share intelligence or information	Russian operatives	2c1a0d7186aa75566d5039538a45d2f1	[7:18:19]	369
Egypt interior ministry	063	Engage in judicial cooperation	Italian officials	01ece3dcdc1e42dfa31cc0bb014263d5	[2:4:7]	371
Israel	061	Cooperate economically	Eastern Mediterranean	86fc8d462acf7deeab74e1011b3b7cd3	[1:0:3]	378
Syria	060	Engage in material cooperation	Israel	e3e1667e934935529483c68dcf17bc3c	[2:3:6]	383
Hamas and Mohammed Dahlan	062	Cooperate militarily	Israel	12d17d5586938650b2569606e5fd0c61	[0:0:0]	384
Hamas and Mohammed Dahlan	062	Cooperate militarily	Israel	12d17d5586938650b2569606e5fd0c61	[1:0:1]	385
Hamas and Mohammed Dahlan	062	Cooperate militarily	Israel	12d17d5586938650b2569606e5fd0c61	[1:0:1]	385
Hamas and Mohammed Dahlan	062	Cooperate militarily	Israel	12d17d5586938650b2569606e5fd0c61	[2:2:3]	387
Hamas and Mohammed Dahlan	062	Cooperate militarily	Israel	12d17d5586938650b2569606e5fd0c61	[2:2:3]	387
Hamas’s Al-Qassam Brigades	062	Cooperate militarily	Lebanon	859fc96157484e73268e105e6222ce53	[1:0:2]	392
Hamas and Mohammed Dahlan	062	Cooperate militarily	Hizbullah	859fc96157484e73268e105e6222ce53	[3:6:7]	393
Israeli military forces	062	Cooperate militarily	Gaza	42d297870761cacfd3fc5531b240f747	[3:9:11]	394
Turkey	061	Cooperate economically	Azerbaijan	f5abc6cc61388bc47cc5772f407f13ec	[3:9:11]	411
Turkey	061	Cooperate economically	China	f5abc6cc61388bc47cc5772f407f13ec	[3:9:11]	412
Qatar	061	Cooperate economically	Civilians	1a77126ce1d9ae4f87542b9b34d7188c	[6:15:15]	415
Turkey	060	Engage in material cooperation	Israel	5d1ce0e1ba36d8f5d4ed5737ebc68b88	[1:0:6]	425
Turkey	061	Cooperate economically	Gaza	eceb18ffc97a5326722fd5899cf3e696	[2:4:7]	429
Islamic State	060	Engage in material cooperation	Hamas and Mohammed Dahlan	ed48101ca2dd6b1f9f5cdbc0cd206d28	[0:0:0]	434
Shi'ite Muslim groups	062	Cooperate militarily	Iraqi government forces	cddacd085bd8214dd23e06fbb8b5fcf6	[1:0:5]	435
Sen. Robert Menendez	061	Cooperate economically	Bob Corker	3e633620b823d6577f6b91a026d73f68	[2:3:5]	437
House Foreign Affairs Committee Chairman Ed Royce	1822	Torture	Eliot Engel	3e633620b823d6577f6b91a026d73f68	[4:9:11]	438
Islamic State	062	Cooperate militarily	Hamas and Mohammed Dahlan	abc8f5d52d62b1186e92ff7127c6769a	[9:35:39]	446
Egyptian army	062	Cooperate militarily	Israel	abc8f5d52d62b1186e92ff7127c6769a	[9:35:39]	447
National Iranian Gas Export Company managing director Alireza Kameli	061	Cooperate economically	Golar LNG	e45937b45d4983f961bf7a1bd49da58f	[1:0:3]	449
Egyptian investigators	063	Engage in judicial cooperation	Italian prosecutors	46aac3ab1c164242f865837f473f703a	[3:5:7]	453
Arab delegation	061	Cooperate economically	FIEAM	a36b27181bd032582185fbb8e45ba895	[1:0:1]	459
Arab-Brazilian Chamber of Commerce	061	Cooperate economically	Brazil	a36b27181bd032582185fbb8e45ba895	[2:2:2]	460
Saudi Arabia's index	060	Engage in material cooperation	Qatar's index	166c424c70d5297e639f014ac9ddf78f	[1:0:3]	464
Qatar National Bank	060	Engage in material cooperation	Qatar's index	166c424c70d5297e639f014ac9ddf78f	[1:0:3]	468
France	060	Engage in material cooperation	Palestine	ea6b3fead47e62ee9bf4bc2b2006e820	[2:1:5]	470
Hossein Dehqan	1212	Reject military cooperation	Russia	e020d3f5d48474565556563ac2306844	[1:0:1]	482
Tehran	062	Cooperate militarily	Moscow	e020d3f5d48474565556563ac2306844	[2:2:3]	484
Rostec's United Instrument Manufacturing Corporation	062	Cooperate militarily	Russian Navy	ebae90de1a999b66253922730184e621	[1:0:5]	488
Cairo	061	Cooperate economically	Paris	ebae90de1a999b66253922730184e621	[2:6:9]	489
Abdel Fattah Al-Sisi	061	Cooperate economically	Siemens AG	373c1199a049fd16eaa03f3b7f20e11e	[3:9:12]	491
Israel	062	Cooperate militarily	Russia	53546f4d43248a571436bee0ee26005d	[0:0:0]	492
Israel	062	Cooperate militarily	Russia	53546f4d43248a571436bee0ee26005d	[1:0:2]	493
Israel	064	Share intelligence or information	Russia	53546f4d43248a571436bee0ee26005d	[2:3:6]	494
The United States	064	Share intelligence or information	Russia	53546f4d43248a571436bee0ee26005d	[3:7:10]	495
The United States	064	Share intelligence or information	Israel	53546f4d43248a571436bee0ee26005d	[4:11:14]	496
Israel	062	Cooperate militarily	Palestine Liberation Organization	561d43207bd6a2e831817dc8009e0e26	[1:0:2]	498
Azerbaijan	061	Cooperate economically	Georgia	326eff2a6f8ad33b883629259efdf23e	[1:0:4]	512
Turkey	061	Cooperate economically	Israel	6eb6f70f8a6c8a2742ada4c1762a7f52	[1:0:2]	516
Israel	061	Cooperate economically	Turkey	6efbd3cd06be2d0159f11bc3530b006d	[2:3:5]	517
Hamas and Mohammed Dahlan	060	Engage in material cooperation	Gaza Strip	f79fbbfe98fc55b3072cb2ad27e3764d	[2:2:4]	522
Gadi Eisenkot	062	Cooperate militarily	Russian counterpart Valery Gerasimov	6d78452d31f6ea2ba7d144a45d5b56ce	[1:0:3]	526
Israel	062	Cooperate militarily	Russia	6d78452d31f6ea2ba7d144a45d5b56ce	[2:4:6]	527
US-led coalition	1384	Threaten to use conventional attack	Russian Forces	6d78452d31f6ea2ba7d144a45d5b56ce	[5:18:21]	528
Gulf countries	061	Cooperate economically	The United States	6fe0e4a1934777d512724451a58b20fc	[6:18:20]	533
Turkey	061	Cooperate economically	Gaza	fd8c536e2ccb089fa797a131e871c987	[1:0:4]	534
OPEC head	0211	Appeal for economic cooperation	Russia	8608768725ec963c205d6eec7d63adcb	[4:12:15]	535
Tehran	061	Cooperate economically	Beijing	b349b85b2e47cc5908358a98560bd5b6	[1:0:2]	544
Beijing	061	Cooperate economically	Tehran	b349b85b2e47cc5908358a98560bd5b6	[1:0:2]	545
Shi'ite and Kurdish militia members	062	Cooperate militarily	Iraqi Forces	730a3214b49ba6a8eef31b5cf3cd77fb	[2:5:8]	548
IDF	062	Cooperate militarily	Emergency Response	281777fe55e5d0ebe0d81034d73ef975	[3:6:8]	551
IDF	062	Cooperate militarily	Gazan territory	281777fe55e5d0ebe0d81034d73ef975	[4:9:13]	552
Hamas and Mohammed Dahlan	060	Engage in material cooperation	Gaza	281777fe55e5d0ebe0d81034d73ef975	[5:14:18]	553
United Nations	060	Engage in material cooperation	Israeli settlement products	c7caa60db25b947412fa3522d8c5f28e	[2:3:5]	554
Iran-Turkmenistan	061	Cooperate economically	trade conference attendees	ff66eb2edebea569159d25068195c891	[1:0:4]	556
Israel	061	Cooperate economically	Gaza	0fe98ab637f9b41e821624a1494e7676	[1:0:5]	557
Emirates National Oil Company	061	Cooperate economically	Central Bank of Iran	a6db5fef19bb2e5c69cc666897ec98d5	[1:0:0]	562
President Ronald Reagan	1384	Threaten to use conventional attack	Israel	41fdbcdb86e8ce3057d6998584fdc202	[6:20:23]	564
Israeli military forces	062	Cooperate militarily	Beit El assailant	ff968c7cf9315a638c3881e60172dcbd	[5:19:21]	581
Moscow	061	Cooperate economically	Minsk	87474e188c862170f3cf182446a12329	[1:0:4]	582
Israel	060	Engage in material cooperation	Gaza	76c38e4ddb07412bf1c7d13f5df13300	[0:0:0]	588
Iran General	062	Cooperate militarily	Iraqi Forces	3d41f4ab725f0e34afa9186a9ceba83d	[0:0:0]	589
Gen. Ghasem Soleimani	1211	Reject economic cooperation	Islamic State	3d41f4ab725f0e34afa9186a9ceba83d	[1:0:1]	590
Israel	060	Engage in material cooperation	Turkey	1da0d70fc0bbfe984f748a3f1b146622	[1:0:4]	593
Israeli military forces	064	Share intelligence or information	Russian Forces	1b507801e00adc8b2f1cec36e5e5b456	[1:0:2]	594
Russia	064	Share intelligence or information	Israel	4bab4312156756c59450d6acb3dc3e67	[0:0:0]	595
Hizbullah	062	Cooperate militarily	Lebanon	44fa466fedd75e94cec010a993698605	[1:0:3]	605
Hadi al-Amiri	062	Cooperate militarily	Qassem Soleimani	5386f46d40b275ce401fdb04cdaabbe1	[0:0:0]	610
Iraqi Forces	0233	Appeal for humanitarian aid	Popular Mobilisation units	90c8148816b55ad9dbed9fc48b26224a	[1:0:3]	614
Militia	062	Cooperate militarily	Popular Mobilisation units	90c8148816b55ad9dbed9fc48b26224a	[1:0:3]	615
Popular Mobilisation members	062	Cooperate militarily	Federal police	90c8148816b55ad9dbed9fc48b26224a	[2:4:7]	616
The United States	061	Cooperate economically	Britain	4f6faf0c89af27503d79a167b496af41	[4:12:16]	619
National Iranian Oil Company	061	Cooperate economically	Total company	6a9296545e805b1e55e9ffe0ca368e11	[1:0:0]	622
National Iranian Oil Company	061	Cooperate economically	Russian firm	6a9296545e805b1e55e9ffe0ca368e11	[1:0:0]	623
National Iranian Oil Company	061	Cooperate economically	Spanish firm	6a9296545e805b1e55e9ffe0ca368e11	[1:0:0]	624
NIOC and BP	061	Cooperate economically	Rhum gas field	8c97d9c5517b760c481c574dfad82597	[2:5:9]	638
Turkey	060	Engage in material cooperation	Israel	63ad58658f99ff0d45fe5fcbfea4d3af	[1:0:3]	650
Israeli military forces	062	Cooperate militarily	Gaza Strip	764568a3dd0e5c416471df76d197e471	[1:0:2]	652
Unnamed senior inspector	060	Engage in material cooperation	Syria	caa10e652969b65e93aa7efea4130717	[1:0:1]	653
IS	062	Cooperate militarily	Ras Al-Ain	8b20e9ecc1b8e9c1305a80d0db0e1d55	[4:12:16]	658
Baku	061	Cooperate economically	Tehran	faea7f2ce5d33338dfc8ef3b945d4f0f	[2:6:8]	675
Egypt Army Units	062	Cooperate militarily	Gaza Strip	864ac2acbbcea07cb07eb0e36f468928	[1:0:2]	677
Israel	060	Engage in material cooperation	Palestine	571c8cee6cfb2a28d1fa8a16c55d9011	[1:0:4]	686
Israel	060	Engage in material cooperation	Islamic State-affiliated Yarmouk Martyrs Brigade	5a19cfb3219af326407d3f15059f8155	[1:0:2]	687
IDF	060	Engage in material cooperation	Gazan side of the security border	cc7fd957d952b383e25631fb6f82a2b1	[1:0:3]	692
Asaib Ahl al-Haq	062	Cooperate militarily	Kataib Hezbollah	c7a6087da2c138c620ef35cdd6f7151b	[6:10:12]	700
Russian oil producers	061	Cooperate economically	Iranian company	b70fad5f82b1428856bbc3e723e39048	[2:3:5]	701
Iran’s National Iranian Oil Company (NIOC)	061	Cooperate economically	OMV	e227a60b60ad714ae2f98965fe555286	[0:0:0]	702
Russia	060	Engage in material cooperation	Turkey	e228981468cbdf19c540fb2d1bee22b5	[1:0:5]	708
Israel	061	Cooperate economically	Turkey	c0e67a8bc70e45b5c9f4719ff3c8436a	[1:0:2]	710
Steny H. Hoyer	064	Share intelligence or information	House Majority Leader Kevin McCarthy	6d395649f102b3230fcd4e47e243c5fa	[6:13:14]	712
Islamic Republic of Iran	061	Cooperate economically	Russia	4fc62fa5531561f9623dd062e420b562	[2:4:5]	717
National Iranian Oil Co (NIOC)	061	Cooperate economically	France's Total	76af919bb3bae960dc15f068a60598e5	[1:0:3]	727
Clinton	061	Cooperate economically	Middle East alliances	3fdcecf31b4812f472b20731d6e2b7b4	[4:6:6]	728
China	061	Cooperate economically	Silk Road trade route revival	d3506272024b8af985f479fcea6cb22a	[1:0:3]	733
Ariel Sharon	061	Cooperate economically	Gaza	946507d91864799de31ccf9ec639dd16	[3:6:7]	736
Tehran	061	Cooperate economically	six world powers	f08cb3a2808d115eeb995d09a0c2fe61	[2:5:7]	742
Russia	062	Cooperate militarily	China	f08cb3a2808d115eeb995d09a0c2fe61	[3:8:10]	744
Georgia	061	Cooperate economically	Azerbaijan	6340b07bb22f840cbf2fde2e842159cf	[3:11:14]	750
Georgia	061	Cooperate economically	Russia	6340b07bb22f840cbf2fde2e842159cf	[3:11:14]	751
Israel	060	Engage in material cooperation	East Jerusalem	0b2d0c023a07da468989ad9ab1ac9303	[3:7:10]	752
Hezbollah	060	Engage in material cooperation	Hamas and Mohammed Dahlan	53b4c6bdbce48f9599826787528b082b	[2:5:7]	756
Saudi Arabian Oil Co. (Aramco)	061	Cooperate economically	US clients	7f5f8c3dc28f21ce25495f16a67f4381	[1:0:2]	758
Saudi Arabian Oil Co. (Aramco)	061	Cooperate economically	Europe	7f5f8c3dc28f21ce25495f16a67f4381	[1:0:2]	759
National Iranian Oil Company	061	Cooperate economically	Europe	1b5a252d7a6d90f05bf21ca1460a946d	[0:0:0]	768
French energy giant Total	061	Cooperate economically	National Iranian Oil Company	1b5a252d7a6d90f05bf21ca1460a946d	[1:0:0]	769
Spanish company	061	Cooperate economically	National Iranian Oil Company	1b5a252d7a6d90f05bf21ca1460a946d	[1:0:0]	771
China	064	Share intelligence or information	Arab world	ea7d8496e636267faa30418df1a8c605	[5:16:19]	776
Egyptian military	062	Cooperate militarily	Gaza-Egypt border control	32302e9b3f2c65da2bc4ef720ab092e3	[3:6:7]	778
Turkey	061	Cooperate economically	Gaza	45def2cabe38566fe50b42d363ca1506	[0:0:0]	779
Turkey	061	Cooperate economically	Gaza	45def2cabe38566fe50b42d363ca1506	[1:0:0]	780
Turkey	061	Cooperate economically	Gaza	45def2cabe38566fe50b42d363ca1506	[1:0:0]	780
Turkey	061	Cooperate economically	Gaza	45def2cabe38566fe50b42d363ca1506	[2:1:3]	782
Turkey	061	Cooperate economically	Gaza	45def2cabe38566fe50b42d363ca1506	[3:4:6]	783
Israeli investors	061	Cooperate economically	Jenin	45def2cabe38566fe50b42d363ca1506	[4:7:9]	785
Palestinian investors	1211	Reject economic cooperation	Jenin	45def2cabe38566fe50b42d363ca1506	[4:7:9]	786
Turkish investors	061	Cooperate economically	Jenin	45def2cabe38566fe50b42d363ca1506	[4:7:9]	787
Turkey	061	Cooperate economically	Gaza Port	45def2cabe38566fe50b42d363ca1506	[4:7:9]	788
Russia	062	Cooperate militarily	Syria	6d1d3b39c887a3cea807fc8ce72b264b	[1:0:3]	790
Israel	062	Cooperate militarily	Russia	6d1d3b39c887a3cea807fc8ce72b264b	[3:8:10]	791
Abdel Fattah Al-Sisi	061	Cooperate economically	German industrial group Siemens	bd0fb0928e2067c488f6a720a98e17f9	[3:8:12]	793
Persia Oil & Gas Industry Development Co.	061	Cooperate economically	Setad Ejraiye Farman-e Emam (Setad)	ff219009cbdd5bfd83334fb77df39d5b	[1:0:3]	795
Setad	061	Cooperate economically	Ayatollah Ali Khamenei	ff219009cbdd5bfd83334fb77df39d5b	[2:4:5]	796
Russia	062	Cooperate militarily	Syria	9b1691742eeab15fdb9228e39eb57ac2	[0:0:0]	800
Russia	064	Share intelligence or information	Israel	9b1691742eeab15fdb9228e39eb57ac2	[1:0:3]	801
Russia	062	Cooperate militarily	Syria	9b1691742eeab15fdb9228e39eb57ac2	[1:0:3]	802
Monte Toledo oil tanker	061	Cooperate economically	Cia Espanola de Petroleos	c8e6d5867a06723580868063b2bb48d1	[1:0:2]	810
Turkey	061	Cooperate economically	Gaza	efaacdd8e41b05ac4966dc601da659e6	[7:20:22]	820
